ngram	w1	w2	w3
Dalam_pertandingan_mendatang	Dalam	pertandingan	mendatang
lambat_Oktober_mendatang	lambat	Oktober	mendatang
Jakarta_April_mendatang	Jakarta	April	mendatang
Jatiwaringin_Maret_mendatang	Jatiwaringin	Maret	mendatang
pada_Juli_mendatang	pada	Juli	mendatang
pada_Desember_mendatang	pada	Desember	mendatang
pada_waktu-waktu_mendatang	pada	waktu-waktu	mendatang
pada_pilkada_mendatang	pada	pilkada	mendatang
investasi_tahun_mendatang	investasi	tahun	mendatang
Pilkada_DKI_mendatang	Pilkada	DKI	mendatang
Jakarta_tahun_mendatang	Jakarta	tahun	mendatang
APBD_Jakarta_mendatang	APBD	Jakarta	mendatang
lima_bulan_mendatang	lima	bulan	mendatang
akhir_Juli_mendatang	akhir	Juli	mendatang
dua_hari_mendatang	dua	hari	mendatang
dalam_Pilkada_mendatang	dalam	Pilkada	mendatang
selesai_April_mendatang	selesai	April	mendatang
PON_PON_mendatang	PON	PON	mendatang
empat_tahun_mendatang	empat	tahun	mendatang
drill_Desember_mendatang	drill	Desember	mendatang
menyukseskan_Pemilu_mendatang	menyukseskan	Pemilu	mendatang
dirilis_Maret_mendatang	dirilis	Maret	mendatang
Jakarta_pada_mendatang	Jakarta	pada	mendatang
atau_Juli_mendatang	atau	Juli	mendatang
hingga_Senin_mendatang	hingga	Senin	mendatang
sekarang_dan_mendatang	sekarang	dan	mendatang
pada_Desember_mendatang	pada	Desember	mendatang
akhir_Oktober_mendatang	akhir	Oktober	mendatang
digelar_September_mendatang	digelar	September	mendatang
tanggal_Oktober_mendatang	tanggal	Oktober	mendatang
pada_Januari_mendatang	pada	Januari	mendatang
menambahkan_Juli_mendatang	menambahkan	Juli	mendatang
MIS_Maret_mendatang	MIS	Maret	mendatang
hingga_Ju-ni_mendatang	hingga	Ju-ni	mendatang
sepuluh_tahun_mendatang	sepuluh	tahun	mendatang
beberapa_waktu_mendatang	beberapa	waktu	mendatang
akhir_April_mendatang	akhir	April	mendatang
tanggal_Agustus_mendatang	tanggal	Agustus	mendatang
BANTUL_Tahun_mendatang	BANTUL	Tahun	mendatang
persiapan_PON_mendatang	persiapan	PON	mendatang
pada_tahun-tahun_mendatang	pada	tahun-tahun	mendatang
cair_April_mendatang	cair	April	mendatang
pada_April_mendatang	pada	April	mendatang
beberapa_bulan_mendatang	beberapa	bulan	mendatang
bulan_September_mendatang	bulan	September	mendatang
menghadapi_Pemilu_mendatang	menghadapi	Pemilu	mendatang
pada_Juli_mendatang	pada	Juli	mendatang
bulan_Juni_mendatang	bulan	Juni	mendatang
tanggal_Februari_mendatang	tanggal	Februari	mendatang
pada_September_mendatang	pada	September	mendatang
di_tahun_mendatang	di	tahun	mendatang
tanggal_Juni_mendatang	tanggal	Juni	mendatang
Propinsi_September_mendatang	Propinsi	September	mendatang
Jerman_Juli_mendatang	Jerman	Juli	mendatang
dengan_generasi_mendatang	dengan	generasi	mendatang
tanggal_Agustus_mendatang	tanggal	Agustus	mendatang
