ngram	w1	w2	w3	n
mengenai_masa_depannya	mengenai	masa	depannya	6
menghadapi_masa_depan	menghadapi	masa	depan	6
menjadi_masa_depan	menjadi	masa	depan	6
menyongsong_masa_depan	menyongsong	masa	depan	6
mereka_di_depan	mereka	di	depan	6
mulai_bulan_depan	mulai	bulan	depan	6
mungkin_ke_depan	mungkin	ke	depan	6
pada_minggu_depan	pada	minggu	depan	6
paling_depan_dalam	paling	depan	dalam	6
pe-mimpin_masa_depan	pe-mimpin	masa	depan	6
pekan_depan_karena	pekan	depan	karena	6
pekan_depan_kita	pekan	depan	kita	6
pekan_depan_untuk	pekan	depan	untuk	6
perbaikan_ke_depan	perbaikan	ke	depan	6
perusahaan_ke_depan	perusahaan	ke	depan	6
sehingga_ke_depannya	sehingga	ke	depannya	6
start_di_depan	start	di	depan	6
tahun_depan_harus	tahun	depan	harus	6
tahun_depan_menjadi	tahun	depan	menjadi	6
terbuka_di_depan	terbuka	di	depan	6
terparkir_di_depan	terparkir	di	depan	6
tersebut_ke_depan	tersebut	ke	depan	6
tren_tahun_depan	tren	tahun	depan	6
untuk_masa_depannya	untuk	masa	depannya	6
yang_sudah_didepan	yang	sudah	didepan	6
ada_masa_depan	ada	masa	depan	5
atas_masa_depan	atas	masa	depan	5
bagian_depan_gedung	bagian	depan	gedung	5
bahwa_pekan_depan	bahwa	pekan	depan	5
barisan_paling_depan	barisan	paling	depan	5
beraksi_di_depan	beraksi	di	depan	5
bersama_di_depan	bersama	di	depan	5
condong_ke_depan	condong	ke	depan	5
dan_masa_depannya	dan	masa	depannya	5
dari_pintu_depan	dari	pintu	depan	5
dengan_masa_depannya	dengan	masa	depannya	5
dengan_tetap_mengedepankan	dengan	tetap	mengedepankan	5
depan_agar_lebih	depan	agar	lebih	5
depan_bisa_saja	depan	bisa	saja	5
depan_di_mana	depan	di	mana	5
depan_gawang_yang	depan	gawang	yang	5
depan_gedung_milik	depan	gedung	milik	5
depan_ia_berharap	depan	ia	berharap	5
depan_kami_berharap	depan	kami	berharap	5
depan_kami_harapkan	depan	kami	harapkan	5
depan_kita_harus	depan	kita	harus	5
depan_kita_juga	depan	kita	juga	5
depan_mata_kita	depan	mata	kita	5
depan_mata_tidak	depan	mata	tidak	5
depan_menjadi_lebih	depan	menjadi	lebih	5
depan_pintu_kamar	depan	pintu	kamar	5
depan_pintu_keluar	depan	pintu	keluar	5
depan_program_ini	depan	program	ini	5
depan_rumah_makan	depan	rumah	makan	5
depan_sepeda_motor	depan	sepeda	motor	5
depan_umat_manusia	depan	umat	manusia	5
depannya_kami_akan	depannya	kami	akan	5
di_depan_altar	di	depan	altar	5
di_depan_balai	di	depan	balai	5
di_depan_hidung	di	depan	hidung	5
di_depan_hotel	di	depan	hotel	5
di_depan_loket	di	depan	loket	5
di_depan_net	di	depan	net	5
di_depan_orang	di	depan	orang	5
di_depan_pasar	di	depan	pasar	5
di_depan_penyidik	di	depan	penyidik	5
di_depan_untuk	di	depan	untuk	5
di_depan_wajah	di	depan	wajah	5
di_kursi_depan	di	kursi	depan	5
di_pintu_depan	di	pintu	depan	5
di_sisi_depan	di	sisi	depan	5
di_teras_depan	di	teras	depan	5
digital_terdepan_di	digital	terdepan	di	5
dilaksanakan_tahun_depan	dilaksanakan	tahun	depan	5
dilakukan_tahun_depan	dilakukan	tahun	depan	5
ditangkap_di_depan	ditangkap	di	depan	5
ekonomi_ke_depan	ekonomi	ke	depan	5
enam_bulan_kedepan	enam	bulan	kedepan	5
harap_ke_depan	harap	ke	depan	5
harapan_masa_depan	harapan	masa	depan	5
inflasi_tahun_depan	inflasi	tahun	depan	5
ingin_ke_depan	ingin	ke	depan	5
jaminan_masa_depan	jaminan	masa	depan	5
ke_depan_bakal	ke	depan	bakal	5
ke_depan_demikian	ke	depan	demikian	5
ke_depan_jadi	ke	depan	jadi	5
ke_depan_masalah	ke	depan	masalah	5
ke_depan_memang	ke	depan	memang	5
ke_depan_mulai	ke	depan	mulai	5
ke_depan_nan-ti	ke	depan	nan-ti	5
ke_depan_pungkas	ke	depan	pungkas	5
ke_depan_pungkasnya	ke	depan	pungkasnya	5
ke_depan_sebelum	ke	depan	sebelum	5
ke_depan_tukas	ke	depan	tukas	5
ke_depan_ungkap	ke	depan	ungkap	5
ke_depannya_dan	ke	depannya	dan	5
ke_depannya_jelas	ke	depannya	jelas	5
ke_depannya_juga	ke	depannya	juga	5
ke_depannya_seperti	ke	depannya	seperti	5
ke_lini_depan	ke	lini	depan	5
ketajaman_lini_depan	ketajaman	lini	depan	5
kompetisi_musim_depan	kompetisi	musim	depan	5
kompetisi_tahun_depan	kompetisi	tahun	depan	5
laga_ke_depan	laga	ke	depan	5
lagi_di_depan	lagi	di	depan	5
lebih_baik_kedepannya	lebih	baik	kedepannya	5
lebih_mengedepankan_kepentingan	lebih	mengedepankan	kepentingan	5
lihat_ke_depan	lihat	ke	depan	5
lini_depan_dan	lini	depan	dan	5
mangkal_di_depan	mangkal	di	depan	5
masa_depan_bisa	masa	depan	bisa	5
masa_depan_industri	masa	depan	industri	5
masa_depan_seperti	masa	depan	seperti	5
masa_depannya_bersama	masa	depannya	bersama	5
meluncur_tahun_depan	meluncur	tahun	depan	5
mengatakan_tahun_depan	mengatakan	tahun	depan	5
mengedepankan_kepentingan_bersama	mengedepankan	kepentingan	bersama	5
mengubah_masa_depan	mengubah	masa	depan	5
mereka_ke_depan	mereka	ke	depan	5
merupakan_masa_depan	merupakan	masa	depan	5
minggu_depan_kami	minggu	depan	kami	5
mobil_di_depan	mobil	di	depan	5
muncul_di_depan	muncul	di	depan	5
musim_depan_akan	musim	depan	akan	5
musim_depan_dengan	musim	depan	dengan	5
nanti_pekan_depan	nanti	pekan	depan	5
pada_lini_depan	pada	lini	depan	5
pekan_depan_hari	pekan	depan	hari	5
pekan_depan_setelah	pekan	depan	setelah	5
pekan_depan_ungkap	pekan	depan	ungkap	5
pemain_depan_yang	pemain	depan	yang	5
pemerintahan_ke_depan	pemerintahan	ke	depan	5
pendapat_di_depan	pendapat	di	depan	5
pengembangan_ke_depan	pengembangan	ke	depan	5
penumpang_di_depan	penumpang	di	depan	5
pertama_tahun_depan	pertama	tahun	depan	5
pertandingan_ke_depan	pertandingan	ke	depan	5
pidato_di_depan	pidato	di	depan	5
pintu_depan_yang	pintu	depan	yang	5
politik_ke_depan	politik	ke	depan	5
program_ke_depan	program	ke	depan	5
saja_ke_depan	saja	ke	depan	5
sampai_ke_depan	sampai	ke	depan	5
saya_ke_depan	saya	ke	depan	5
seperti_di_depan	seperti	di	depan	5
tahun_depan_adalah	tahun	depan	adalah	5
tahun_depan_baru	tahun	depan	baru	5
tahun_depan_dapat	tahun	depan	dapat	5
tahun_depan_diperkirakan	tahun	depan	diperkirakan	5
tahun_depan_itu	tahun	depan	itu	5
