ngram	w1	w2	w3	n
etnik_mulai_zaman	etnik	mulai	zaman	1
fantasi_zaman_perjuangan	fantasi	zaman	perjuangan	1
fase_zaman_ini	fase	zaman	ini	1
fase_zaman_yang	fase	zaman	yang	1
faze_zaman_berikut	faze	zaman	berikut	1
fenomena_zaman_batu	fenomena	zaman	batu	1
film_zaman_dulu	film	zaman	dulu	1
foto_uang_zaman	foto	uang	zaman	1
foto-foto_zaman_dahulu	foto-foto	zaman	dahulu	1
galau_cinta_zaman	galau	cinta	zaman	1
galau_pada_zaman	galau	pada	zaman	1
geliat_zaman_begitu	geliat	zaman	begitu	1
gempuran_zaman_dengan	gempuran	zaman	dengan	1
gereja_di_zaman	gereja	di	zaman	1
gerekan_zaman_baru	gerekan	zaman	baru	1
global_modern_zaman	global	modern	zaman	1
gubernur_dari_zaman	gubernur	dari	zaman	1
guru_di_zaman	guru	di	zaman	1
haji_pada_zaman	haji	pada	zaman	1
harganya_apalagi_zaman	harganya	apalagi	zaman	1
hari_akhir_zaman	hari	akhir	zaman	1
hebat_di_zaman	hebat	di	zaman	1
hewan_zaman_purba	hewan	zaman	purba	1
hilang_tergerus_zaman	hilang	tergerus	zaman	1
hingga_akhir_zaman	hingga	akhir	zaman	1
hingga_ke_zaman	hingga	ke	zaman	1
hingga_keramik_zaman	hingga	keramik	zaman	1
hingga_zaman_kemerdekaan	hingga	zaman	kemerdekaan	1
hingga_zaman_kolonial	hingga	zaman	kolonial	1
hit_dari_zaman	hit	dari	zaman	1
hukum_di_zaman	hukum	di	zaman	1
ikon_dari_zaman	ikon	dari	zaman	1
ingat_di_zaman	ingat	di	zaman	1
ini_dari_zaman	ini	dari	zaman	1
ini_di_zaman	ini	di	zaman	1
ini_menunjukkan_zaman	ini	menunjukkan	zaman	1
ini_semua_zaman	ini	semua	zaman	1
ini_zaman_virtual	ini	zaman	virtual	1
inkorporasi_pada_zaman	inkorporasi	pada	zaman	1
intensitas_masyarakat_zaman	intensitas	masyarakat	zaman	1
istilah_top_zaman	istilah	top	zaman	1
istilah_zaman_sekarang	istilah	zaman	sekarang	1
itu_karena_zaman	itu	karena	zaman	1
itu_pada_zaman	itu	pada	zaman	1
itu_sudah_zaman	itu	sudah	zaman	1
itu_sulit_zaman	itu	sulit	zaman	1
itu_zaman_dahulu	itu	zaman	dahulu	1
itu_zaman_dulu	itu	zaman	dulu	1
jadul_zaman_dulu	jadul	zaman	dulu	1
jauh_sejak_zaman	jauh	sejak	zaman	1
jelas_di_zaman	jelas	di	zaman	1
kain_batik_zaman	kain	batik	zaman	1
kala_zaman_penjajahan	kala	zaman	penjajahan	1
kalau_zaman_sekarang	kalau	zaman	sekarang	1
kami_ke_zaman	kami	ke	zaman	1
kamp_konsentrasi_zaman	kamp	konsentrasi	zaman	1
kampanye_zaman_batu	kampanye	zaman	batu	1
kan_zaman_guru	kan	zaman	guru	1
karena_dibanding_zaman	karena	dibanding	zaman	1
karena_ketika_zaman	karena	ketika	zaman	1
karena_mengikuti_zaman	karena	mengikuti	zaman	1
karena_tantangan_zaman	karena	tantangan	zaman	1
karena_zaman_dahulu	karena	zaman	dahulu	1
karena_zaman_dulu	karena	zaman	dulu	1
kasus_sejak_zaman	kasus	sejak	zaman	1
kayak_di_zaman	kayak	di	zaman	1
ke_lain_zaman	ke	lain	zaman	1
ke_zaman_barbar	ke	zaman	barbar	1
ke_zaman_belum	ke	zaman	belum	1
ke_zaman_jahiliyah	ke	zaman	jahiliyah	1
ke_zaman_kege-lapan	ke	zaman	kege-lapan	1
ke_zaman_pencerahan	ke	zaman	pencerahan	1
ke_zaman_saya	ke	zaman	saya	1
ke_zaman_yang	ke	zaman	yang	1
kebiasaan_dari_zaman	kebiasaan	dari	zaman	1
kebutuhan_zaman_khususnya	kebutuhan	zaman	khususnya	1
kebutuhan_zaman_produk-produk	kebutuhan	zaman	produk-produk	1
kecantikan_sepanjang_zaman	kecantikan	sepanjang	zaman	1
kecenderungan_zaman_ujar	kecenderungan	zaman	ujar	1
kecil_zaman_sekarang	kecil	zaman	sekarang	1
kegiatan_sejak_zaman	kegiatan	sejak	zaman	1
kehidupan_di_zaman	kehidupan	di	zaman	1
kehidupan_zaman_ini	kehidupan	zaman	ini	1
kekayaan_sejak_zaman	kekayaan	sejak	zaman	1
kelanjutan_dari_zaman	kelanjutan	dari	zaman	1
kelapa_sejak_zaman	kelapa	sejak	zaman	1
kemajuan_saban_zaman	kemajuan	saban	zaman	1
kemajuan_zaman_kata	kemajuan	zaman	kata	1
kemajuan_zaman_ma-ka	kemajuan	zaman	ma-ka	1
kemajuan_zaman_tak	kemajuan	zaman	tak	1
kemajuan_zaman_terbiasa	kemajuan	zaman	terbiasa	1
kemajuan_zaman_terus	kemajuan	zaman	terus	1
kemanjuan_zaman_dan	kemanjuan	zaman	dan	1
kemapanan_di_zaman	kemapanan	di	zaman	1
kembali_zaman_kejayaan	kembali	zaman	kejayaan	1
kemerdekaan_zaman_perjuangan	kemerdekaan	zaman	perjuangan	1
kenakalan_anak_zaman	kenakalan	anak	zaman	1
kepada_zaman_kita	kepada	zaman	kita	1
ker-tas_zaman_dulu	ker-tas	zaman	dulu	1
kerajaan_hingga_zaman	kerajaan	hingga	zaman	1
keramik_zaman_kertas	keramik	zaman	kertas	1
keren_jadul_zaman	keren	jadul	zaman	1
kertas_dan_zaman	kertas	dan	zaman	1
kesan_ketinggalan_zaman	kesan	ketinggalan	zaman	1
ketika_zaman_dahulu	ketika	zaman	dahulu	1
ketika_zaman_sekolah	ketika	zaman	sekolah	1
ketinggalan_zaman_disulap	ketinggalan	zaman	disulap	1
ketinggalan_zaman_ung-kap	ketinggalan	zaman	ung-kap	1
khalifah_di_zaman	khalifah	di	zaman	1
khalifah_pada_zaman	khalifah	pada	zaman	1
khas_zaman_dulu	khas	zaman	dulu	1
khas_zaman_renaisans	khas	zaman	renaisans	1
